sku	asin	price	quantity
112423	B002TQYSCE	23.87	5
112425	B002LH5XL6	16.66	5
112428	B002LH5XKM	31.35	3
112429	B002LH5XKW	25.32	5
112437	B0056WOTIQ	41.38	1
112438	B0042IIKLM	45.80	3
112907	B001GLYFLM	14.13	10
1144	B000VJ3ZQQ	6.09	2
1145	B000SXSB0U	19.05	5
1146	B000SXSAWY	9.37	5
1149	B000SXOVLS	14.32	2
1180	B0002HWQEE	11.09	5
1182	B000A42Y3M	12.33	2
1219	B00000IUMW	23.35	5
1226	B0007W5S76	13.19	5
1231	B00004T1BV	9.62	5
1232	B00004T1BW	7.54	5
1252	B00000IUKW	7.22	5
1253	B00000IU6X	6.01	5
1254	B00000IU3B	7.24	5
1255	B00000IU3C	7.07	5
1256	B00000IU3D	7.43	5
1257	B00000IU6Z	7.25	5
1258	B00000IU3E	7.39	5
1259	B00000IU72	14.99	2
1261	B00000IUKQ	13.34	5
1263	B00000IU3U	16.16	5
1267	B0001WGIBC	7.04	5
1268	B00000IU3V	9.09	5
1269	B0001WGIBM	16.60	2
1270	B0001WGIBW	25.60	5
1273	B0007M4610	20.70	1
1274	B0007W5S7G	25.10	4
1279	B0002YLPGM	12.17	5
1282	B00004T1C8	28.73	2
1286	B00084YD24	10.91	4
1301	B00000IULD	9.41	5
130697	B003WOKY70	17.48	3
130839	B004322Y0A	42.85	5
130841	B004322Y50	122.86	2
130842	B0046RHEH0	61.08	2
130843	B0046RBWEQ	19.23	4
130844	B004322Y7I	40.10	1
130845	B004322Y8M	11.53	2
130846	B004322Y00	15.80	4
130848	B0046RHO20	24.66	3
130849	B004322XYC	16.04	1
130850	B0046RFM92	20.03	3
130851	B004322Y1E	15.07	3
130854	B004322Y6Y	17.06	2
130861	B004322XUG	27.12	3
130863	B004322Y7S	22.77	5
130864	B004322XUQ	36.42	2
130865	B0046RFLPC	39.86	5
130879	B0041CBNV8	32.20	4
130907	B004RUEFHS	29.14	5
130917	B004RUEFH8	46.47	5
130959	B004RUEFQO	17.33	5
130973	B004E0Z3WC	9.81	2
130975	B004E0Z3WW	9.01	5
130991	B004E9SKXW	15.41	1
130993	B004E0Z3TK	14.54	4
131042	B003VMSCU4	17.31	3
131044	B003VMS5O2	13.87	5
131077	B003VAF7SQ	35.76	5
131079	B004GXL2EK	3.78	3
131081	B004GXJAY4	3.43	5
131083	B004GXE72Y	4.56	5
131085	B004GXE74C	3.06	5
131087	B004GXE756	3.89	5
131093	B004GXL2TK	3.89	4
131095	B004GXJB5W	4.49	5
131097	B004GXFPB6	6.00	5
131099	B004GXE7EW	4.74	5
131101	B004GXJBJS	3.09	1
131103	B004FGZPRI	3.29	5
131105	B004GXE7G0	3.41	5
131107	B004GXFPES	4.45	5
131109	B004GXHO2E	5.87	5
131111	B004GXE7LK	5.63	5
131113	B004GXFPK2	4.70	5
131115	B004H4WR06	5.92	3
131117	B004GXFPL6	6.30	5
131119	B004GXHO6K	6.29	5
131121	B004GXFPNO	5.81	5
131123	B004GXL394	6.06	5
131125	B004GXFPPM	4.25	4
131127	B004GXE7TW	3.48	5
131129	B004GXHOBU	5.97	5
131131	B004GXFORG	4.68	4
131133	B004GXL3DU	4.41	5
131135	B004GXFPUM	3.72	2
131137	B004GXL3EE	8.13	4
131139	B004GXE7WY	5.34	2
131141	B004GXE922	7.47	5
131153	B004GXL8AS	4.82	5
131157	B004GXE6XE	5.96	5
131165	B004GXFQEC	18.36	5
131167	B004GXJC4W	16.39	2
131169	B004GXFPWA	6.13	5
131171	B004GXHOGK	4.49	5
131173	B004GXE7YC	3.26	5
131175	B004GXE7Z6	5.97	1
131179	B004GXJBWA	4.00	4
131183	B004GXFQH4	16.26	5
131185	B004GXJCA6	19.31	5
131187	B004GXL46Q	11.81	5
131189	B004GXHP5U	7.97	4
131191	B004GXFQWO	4.93	4
131195	B004GXE8X2	6.17	5
131197	B004GXHP9Q	15.07	5
131201	B004GXE8YQ	14.32	5
131203	B004GXE8ZU	13.89	5
131205	B004GXFR1E	14.32	4
131207	B004GXHOJW	3.22	5
131213	B004GXJBXO	5.77	5
131215	B004GXE850	3.02	3
131219	B004GXE88M	3.54	4
131221	B004GXFQ7O	3.39	5
131225	B004GXE8MS	29.95	1
131227	B004GXE6JS	25.72	5
131229	B004G938SM	25.01	4
131233	B004GXE95O	39.34	2
131235	B004GXJCSI	33.95	5
131239	B004GXFQQK	30.86	4
131241	B004GXE8PA	41.70	1
131247	B004GXHNI4	9.06	5
131249	B004GXE8RI	6.54	5
131251	B004W1ARXS	12.65	5
131253	B00567XYK0	11.51	5
131255	B0053AHDM0	20.88	5
131257	B0053AHDB6	26.56	5
131259	B0053AHDHU	19.43	5
131263	B00567Z16U	61.54	5
131266	B004GXJC88	22.90	5
131272	B004GXJCVK	7.25	3
131277	B004LV5OMS	21.94	2
131285	B004KU8378	31.88	4
131287	B004KU836Y	40.23	1
131291	B003AVMUSG	44.81	5
131293	B003AVMUU4	90.76	5
131295	B004M00C3Y	7.90	5
131297	B004LZV2KC	6.94	1
131299	B004LZV2N4	7.93	5
131301	B003AVMUV8	6.73	4
131303	B004LZYIFS	8.75	4
131305	B004LZYIP8	11.22	5
131309	B003AVMUUY	8.41	5
131311	B003AVMUUO	9.43	5
131313	B004KU83C8	19.19	5
131315	B003AVMUTU	15.50	5
131317	B004KU834G	23.42	5
131319	B004KU838W	14.76	2
131321	B003AVMUTK	22.95	5
131323	B004KU837I	13.65	3
131325	B003AVMUVI	50.46	3
131327	B003AVMUSQ	28.11	4
131331	B003AVMUVS	17.53	3
131335	B003AVMURW	9.28	5
131337	B003AVMURM	13.64	5
131339	B003AVMUR2	14.27	5
131353	B003KZK6DI	21.06	2
131355	B003KZK6EC	21.06	2
131365	B003KZK6IS	19.57	1
131373	B003KZK6ME	21.06	2
131379	B003V8ASGE	24.63	1
131385	B003V8ASH8	21.06	1
131399	B004H7RMLW	21.06	2
131409	B004H7RMN0	15.71	2
131415	B003V8ASIC	15.55	2
131417	B003V8ASIW	20.90	1
131439	B003V8ASCI	17.64	1
131447	B003V8ASDM	20.81	2
131449	B003V8ASDW	20.81	2
131451	B003V8ASE6	17.42	1
131453	B003V8ASEG	20.81	2
131475	B004H7RM8U	12.07	2
131477	B004H7RM94	12.07	2
131489	B003KZK6AQ	11.80	1
1315	B0007W5S8U	24.36	4
131513	B004H7RMCG	19.86	1
131567	B004H7RM9E	13.66	1
131611	B004H7RLWW	16.78	2
131617	B005112056	19.72	2
131625	B004H7RM4Y	20.52	2
131629	B004H7RM58	16.89	1
131633	B004W1ARWO	22.47	5
131637	B004W1ARUG	41.30	5
131647	B003ZMTTE8	15.76	5
131649	B003JQKUEI	25.68	5
131651	B004KPLIV6	15.08	2
131653	B004KPLIUW	13.25	5
131655	B004KPLIUM	15.36	3
131657	B004KPLIUC	16.88	1
131661	B004K99XVO	19.98	3
131663	B004KPLITS	16.00	5
131665	B004KPLITI	13.79	2
131667	B003JQKUES	17.79	4
131669	B003JQKUF2	26.08	5
131671	B004KPLIVG	6.72	5
131673	B004KPLIVQ	7.77	5
131675	B004KPLIW0	15.08	5
131710	B002CZPCZO	36.46	1
131760	B007X4NZ4O	11.63	5
131762	B003UES86G	7.33	5
131764	B0055QMIFE	12.84	4
131793	B0009U7K40	46.54	3
131815	B003OIR0UI	158.94	5
131823	B0000WPGTI	115.03	2
131833	B004S2GDAC	9.59	2
131835	B004TQ3JZO	130.12	5
131929	B0048FF5EE	12.87	5
131931	B0048FAX1O	11.71	5
131933	B0048FH04M	10.99	5
131935	B001RQ45JS	21.86	5
131939	B001BX39MQ	15.62	5
131963	B004VEPODO	19.93	5
131967	B001THS1B8	19.93	4
131969	B00178IQBY	19.93	5
131971	B003ZDXTZ2	15.48	2
131989	B00178I916	19.69	4
131993	B0017OKZV2	19.10	5
131995	B001RDA9RI	20.20	5
132007	B0039LCVOU	19.56	5
132013	B004RS0LI2	12.20	5
132017	B004RUF1SK	8.79	3
132023	B004RUC7X2	21.64	5
132025	B004MU920I	18.98	5
132043	B0038ZL5MQ	18.74	10
132055	B004SCGXEI	10.89	5
132059	B004SO13EQ	20.28	5
132073	B0057DCXJ6	10.85	1
132077	B0057DCXBY	10.69	3
132079	B0057DCXAK	9.71	3
132111	B0036TGYN4	13.45	1
132127	B003IQYMZM	51.99	3
132131	B003IR2IB6	10.34	5
132133	B003SNJ9TE	27.01	5
132135	B004MKMW3C	206.81	2
132157	B003YFHTVQ	45.54	4
132165	B003SNJ9SU	25.03	2
132167	B003IR2I84	91.95	3
132175	B003SNJ9SA	26.03	5
132183	B004MKMWHS	60.24	2
132191	B003ELP548	23.90	5
132197	B004HZYE9M	22.71	2
132201	B004HZYE8I	18.23	2
132207	B004HZYE7O	20.28	1
132209	B004HZYE6K	19.41	2
132213	B004HZYE56	20.28	1
132215	B004HZYE60	19.68	2
132231	B004HZYEUQ	15.99	2
132233	B004HZYEZG	16.02	1
132235	B004HZYF00	15.27	2
132237	B0051CS2VQ	12.97	2
132249	B004HZYERE	15.57	2
132259	B004HZYEOW	15.27	1
132261	B004HZYEN8	15.47	2
132263	B004HZYENS	16.28	2
132271	B004HZYEJ2	12.93	2
132273	B004HZYEII	16.70	1
132275	B004HZYEHE	14.33	2
132281	B004HZYEG0	15.57	1
132283	B004HZYEFG	15.27	1
132285	B004HZYEEW	15.27	2
132291	B004HZYEEC	15.57	1
132293	B003D93Z48	15.57	1
132299	B004HZYE10	11.98	1
132301	B004HZYE1K	11.67	2
132303	B004HZYE1U	11.67	2
132305	B004HZYE0Q	12.83	1
132309	B004HZYE4M	12.69	1
132311	B004HZYE3S	11.67	2
132317	B004HZYE38	12.69	2
132321	B004HZYE24	12.77	2
132325	B004HZYE0G	12.53	3
132329	B004HZYDZC	8.72	1
132337	B004HZYDW0	8.48	3
132347	B004HZYDWK	14.86	5
132393	B004HZYDPM	15.80	2
132399	B004HZYDO8	15.80	2
1324	B00005BHOG	10.79	5
132401	B004HZYDNO	12.47	3
132413	B004HZYDLQ	15.80	2
132457	B004HZYDES	11.05	2
132459	B004HZYDEI	11.30	2
132461	B004HZYDE8	13.57	2
132469	B004HZYDCA	12.47	2
132491	B004HZYD7K	7.74	2
132493	B004HZYD7A	8.23	1
132511	B0051CRXJ8	14.91	2
132527	B004HZYDBG	14.91	2
132533	B004HZYD4I	15.96	5
132535	B004HZYD4S	14.91	2
132557	B004QM3AO6	8.79	1
132585	B003R0V8S8	9.07	3
1326	B0001WGIKS	7.44	5
132613	B004HZYCVC	10.79	5
132615	B004HZYCV2	11.61	5
132623	B0051CRW4O	12.16	2
132625	B004HZYCXU	14.69	3
132649	B004HZYF3W	14.65	3
132653	B004HZYF3C	15.76	5
132655	B004HZYF1O	9.95	4
132657	B0051CS34W	12.38	2
132667	B004HZYF0A	5.57	1
132669	B004HZYFJ6	7.43	5
132671	B004HZYFI2	6.59	5
132673	B004HZYFIC	7.83	5
132675	B004HZYFIM	8.60	5
132689	B004HZYFUK	25.93	5
132693	B0050HSLF4	27.51	3
132697	B004HZYFQ4	16.50	5
132723	B004HZYFB4	9.74	5
132725	B004HZYG6I	20.54	5
132729	B004HZYG68	31.17	5
132731	B004HZYFBO	16.38	5
132733	B004HZYG5Y	29.27	5
132737	B004HZYG54	25.40	5
132741	B004HZYFD2	8.89	5
132743	B004HZYFDM	7.27	5
132747	B004HZYG3G	57.65	3
132749	B004HZYG2W	39.90	5
132751	B004HZYG36	37.33	2
132759	B004HZYFSM	67.51	4
132775	B004HZYF8C	15.67	5
132779	B004HZYF64	8.39	5
132781	B004HZYFSC	22.88	5
132791	B004HZYF8W	11.13	5
132795	B004HZYFS2	19.77	3
132797	B004HZYFJQ	14.00	4
132799	B004HZYFAU	12.94	5
132801	B004HZYFAK	11.13	5
132803	B004HZYF9Q	13.33	4
132805	B004HZYF96	9.08	5
132811	B004HZYF4Q	8.78	5
132813	B004HZYF46	8.00	5
132829	B004HZYCTY	17.44	5
132833	B004HZYCSU	23.26	1
132841	B004HZYFLE	11.67	4
132843	B004HZYCSA	13.52	5
132859	B004HZYCP8	5.71	2
132867	B004HZYEF6	33.81	5
132871	B004HZYE9C	20.91	5
132873	B004HZYEGA	15.96	5
132877	B004HZYEKG	64.05	5
132879	B004HZYFXM	34.76	5
132887	B004HZYEMY	33.22	5
132895	B004HZYENI	22.01	5
132897	B004HZYE6U	22.10	5
132899	B004HZYEIS	19.08	5
132905	B004HZYEA6	14.77	1
132911	B004HZYECO	13.80	2
132913	B004HZYEC4	12.89	5
132915	B004HZYE7E	11.45	5
132925	B004HZYEBA	32.47	2
132929	B004HZYEBU	40.32	1
133031	B00649M7UC	18.07	1
133045	B0050OUQAK	31.67	2
133049	B0050OUQ9G	30.39	5
133051	B0050OUQ7S	45.40	2
133057	B004W5K47I	31.67	2
133061	B004T19RF0	25.97	1
133063	B005NKTTSG	20.59	2
133065	B0050OUPCE	13.58	2
133067	B0050OUPBA	9.07	2
133069	B0051CMYH4	27.31	1
133071	B0050OUP8I	20.77	4
133075	B0064JH72A	34.00	2
133089	B005USVBVE	26.86	2
133091	B00ABTG6DA	18.20	2
133093	B004M17EQQ	12.78	5
133095	B004M17EQG	13.66	5
133099	B004M17EPW	71.15	5
133109	B004M17EOS	9.81	2
133111	B004M17EOI	18.20	2
133113	B004M17EO8	25.07	2
133115	B004M17ENY	22.81	2
133123	B004M17ENE	7.98	2
133125	B004M17EN4	7.98	1
133127	B004M17EMU	8.28	3
133129	B004LGU0IG	11.79	2
133131	B004M17EMK	8.42	2
133135	B004IEGM42	18.77	1
133137	B002RL8GYC	21.18	1
133147	B0043228M4	15.35	2
133151	B003KKNBHQ	15.85	1
133163	B004IEGLX4	12.89	3
133167	B0015A8GEQ	30.67	1
133169	B004206TTU	29.69	1
133171	B004IEGM0Q	20.83	2
133175	B00420AZ22	19.94	1
133177	B00420AT1O	15.35	1
133179	B001GX5C08	10.76	1
133181	B0024HV4Z2	15.75	1
133203	B0050OUQT6	15.14	3
133205	B0050OUQSC	12.50	4
133207	B0050OUQPU	16.68	4
133211	B004MW3Q4O	30.62	2
133213	B004MW3Q58	27.74	5
133223	B004MW3Q3K	11.63	5
133231	B004MW3Q30	7.39	1
133415	B004M17A9M	53.17	5
133417	B004M17A9W	70.40	2
133419	B005KG6AVW	17.34	5
133421	B005KG6AOO	17.97	5
133423	B005HCA1RS	17.33	5
133425	B005HC9JGC	17.79	5
133429	B004JQIRXI	3.49	5
133431	B004JQIRVK	4.68	5
133433	B0006280UO	5.28	3
133435	B004JQN2FQ	14.14	5
133437	B004JQN2EM	14.70	3
133439	B004JQGRNK	3.30	5
133445	B004JQIU9Y	5.28	5
133447	B004JQKVN2	5.53	4
133451	B004JQN364	12.14	5
133453	B004JQGQUY	4.87	5
133455	B004JQN2BU	5.83	3
133465	B004JQN4WM	10.61	5
133469	B004JQGR7Q	5.88	5
133471	B004M179FM	6.34	4
133473	B004JQEQJM	6.41	5
133475	B004JQKWG8	2.68	5
133477	B004JQGR62	3.23	5
133479	B004JQISE6	6.43	5
133483	B004JQKXF8	11.45	5
133485	B004JQKW5Y	5.71	5
133487	B004JQN3D2	5.97	5
133489	B004JQGRQC	6.13	5
133491	B004JQKX7Q	6.03	4
133493	B004JQIT36	4.85	5
133495	B004JQIT0E	5.47	4
133497	B004JQER78	3.57	5
133499	B004JQN3BO	5.61	5
133501	B004JQER32	8.85	2
133505	B004JQN35K	5.16	5
133507	B004JQN2HY	5.62	5
133509	B004JQN1UM	5.82	4
133511	B004JQIRJ2	6.31	5
133513	B004JQKY84	6.05	5
133515	B004JQIT9K	5.51	5
133517	B004JQN2GU	4.43	4
133519	B004JQKWA4	5.74	5
133521	B004JQGQAY	4.57	5
133523	B004JQGQG8	6.15	4
133525	B004JQGQFO	5.61	4
133527	B004JQISM8	4.81	5
133529	B004JQERA0	14.04	5
133531	B004JQN3F0	6.21	5
133537	B004JQER8M	4.84	5
133539	B004JQIT72	4.86	4
133541	B004JQIT1S	17.12	5
133543	B004IZ3ZYG	10.53	5
133545	B004IZ47HA	10.67	2
133547	B004JQN23I	4.86	5
133549	B004M13BZ4	4.84	3
133551	B004JQIVHK	9.74	4
133553	B004JQN5W6	6.13	5
133555	B004JQIROC	4.40	5
133557	B004JQGSY8	4.60	5
133559	B004JQN4KE	3.11	5
133561	B004JQKVPA	3.52	4
133563	B004M179FC	3.40	1
133565	B004JQGQBS	5.86	5
133567	B004JQETEY	6.10	5
133569	B001957KG2	86.01	5
133571	B006PCTOBS	30.07	1
133573	B006PCTMRY	39.57	2
133579	B006PCTJVI	39.55	1
133585	B006MNBNWS	32.32	1
133587	B004FP850S	49.19	3
133589	B004FP1HOO	42.03	1
133591	B004FP54KM	39.05	2
133593	B000NOKCBK	44.69	2
133601	B0056WOTPO	44.47	1
133603	B0056WOTO0	50.00	1
133609	B0056WOTLI	38.70	1
133611	B0058ZUOR6	45.80	2
133613	B0056WOTHM	43.75	2
133615	B0056WOTFY	51.50	2
133617	B0056WOTAO	39.57	2
133619	B0058HOWMM	41.38	2
133621	B004IRUN62	5.72	5
133625	B004IRRG8K	5.72	5
133629	B006PDDCHO	15.24	5
133631	B004IRTP5M	15.80	5
133637	B004ZKPY6G	19.48	3
133639	B004IRNX8M	21.00	1
133641	B003TM9B6K	27.68	5
133645	B004IRRFPO	24.01	5
133651	B004FP1HKS	31.46	5
133653	B004IRNWY2	19.37	5
133655	B004IRNWYM	19.69	5
133669	B004EWG6Y4	31.02	2
133671	B004EWG5S6	30.64	5
133677	B004EWG5TA	60.01	5
133681	B004EWG5U4	51.68	5
133687	B00567BW1I	13.17	5
133689	B005W4P6RQ	16.46	1
133691	B006FTB4DM	17.82	4
133709	B004EWG5PY	7.61	5
133715	B004GUTKQK	29.93	1
133717	B004GUTKQA	37.57	1
133719	B004GUTKQ0	24.35	2
133721	B004GUTKPQ	25.20	2
133725	B004GUTKP6	19.87	2
133729	B004GUTKOM	19.87	2
133731	B004GUTKOC	19.87	2
133733	B004GUTKTM	18.35	2
133735	B004GUTKTC	18.35	2
133739	B004GUTKSS	18.35	2
133741	B004GUTKH4	30.45	2
133743	B004GUTKGU	26.37	1
133747	B0041LDK7O	18.35	3
133749	B004GUTKKQ	16.88	2
133751	B004GUTKL0	16.88	2
133753	B004GUTKNS	27.44	2
133759	B004GUTKRE	21.24	1
133761	B004GUTKJ2	22.33	1
133763	B004GUTKMY	16.88	2
133765	B004GUTKN8	16.88	2
133769	B004GUTKME	16.88	2
133775	B004GUTKLK	16.37	1
133777	B004GUTKLA	20.45	1
133783	B004GUTKO2	41.34	1
133795	B004GUTKII	16.88	1
133797	B004GUTKI8	19.58	1
133815	B004GUTKS8	29.47	1
133859	B0052WHHFM	22.11	5
133861	B001EQW4W6	27.44	3
133865	B0041Q2YO4	24.48	4
133867	B0052WHHBG	21.63	5
133869	B00009ILZ6	17.62	5
133875	B004L2K7YM	16.06	3
133877	B0047ZFXCO	21.63	5
134037	B004NYAFOU	9.78	4
134047	B004NYAFXG	3.38	3
134049	B004NYAFY0	4.75	1
134051	B004NYAFYK	7.78	1
134085	B004NYAGRG	18.56	4
134087	B004NYAGS0	19.85	3
134089	B004NYAGSK	19.85	4
